CHEMICAL_NAME,Super_pathway
N1-methyl-2-pyridone-5-carboxamide,Cofactors and Vitamins
gamma-glutamylisoleucine*,Peptide
oleoylcarnitine (C18:1),Lipid
gamma-glutamyl-2-aminobutyrate,Peptide
2-methylbutyrylcarnitine (C5),Amino Acid
phenol sulfate,Amino Acid
1-palmitoleoyl-GPC (16:1)*,Lipid
2-amino-4-cyanobutanoate,PCM
2-hydroxy-3-methylvalerate,Amino Acid
1-arachidonoyl-GPC (20:4n6)*,Lipid
2-palmitoyl-GPC (16:0)*,Lipid
1-palmitoyl-GPE (16:0),Lipid
1-oleoyl-GPE (18:1),Lipid
1-linoleoyl-GPE (18:2)*,Lipid
1-arachidonoyl-GPE (20:4n6)*,Lipid
2-hydroxypalmitate,Lipid
docosapentaenoate (n6 DPA; 22:5n6),Lipid
gulonate*,Cofactors and Vitamins
isobutyrylglycine,Amino Acid
glutarylcarnitine (C5-DC),Amino Acid
tiglylcarnitine (C5:1-DC),Amino Acid
hydroquinone sulfate,Xenobiotics
catechol sulfate,Xenobiotics
cholesterol sulfate,Lipid
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),Lipid
N-acetyl-aspartyl-glutamate (NAAG),Amino Acid
tetradecanedioate (C14-DC),Lipid
hexadecanedioate (C16-DC),Lipid
octadecanedioate (C18-DC),Lipid
glycerophosphoethanolamine,Lipid
1-arachidonoyl-GPI (20:4)*,Lipid
1-palmitoyl-GPI (16:0),Lipid
glycolithocholate sulfate*,Lipid
taurolithocholate 3-sulfate,Lipid
deoxycarnitine,Lipid
1-ribosyl-imidazoleacetate*,Amino Acid
"3,4-dihydroxybutyrate",Lipid
hexanoylglutamine,Lipid
N6-acetyllysine,Amino Acid
dihomo-linolenate (20:3n3 or n6),Lipid
mannitol/sorbitol,Carbohydrate
tryptophan betaine,Amino Acid
4-vinylphenol sulfate,Xenobiotics
4-ethylphenylsulfate,Xenobiotics
thymol sulfate,Xenobiotics
pyrraline,Xenobiotics
1-oleoyl-GPI (18:1),Lipid
1-linoleoyl-GPI (18:2)*,Lipid
dimethylarginine (SDMA + ADMA),Amino Acid
N-acetylserine,Amino Acid
1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid
4-allylphenol sulfate,Xenobiotics
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid
sphinganine-1-phosphate,Lipid
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),Lipid
succinylcarnitine (C4-DC),Energy
"bilirubin (E,E)*",Cofactors and Vitamins
"bilirubin (E,Z or Z,E)*",Cofactors and Vitamins
N-methylproline,Amino Acid
beta-cryptoxanthin,Cofactors and Vitamins
"5alpha-pregnan-3beta,20alpha-diol disulfate",Lipid
glycocholenate sulfate*,Lipid
taurocholenate sulfate*,Lipid
"androstenediol (3beta,17beta) disulfate (1)",Lipid
pregnenediol disulfate (C21H34O8S2)*,Lipid
"androstenediol (3beta,17beta) disulfate (2)",Lipid
21-hydroxypregnenolone disulfate,Lipid
"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",Lipid
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",Lipid
"androstenediol (3alpha, 17alpha) monosulfate (3)",Lipid
pregnenediol sulfate (C21H34O5S)*,Lipid
gamma-CEHC,Cofactors and Vitamins
N-acetyl-beta-alanine,Nucleotide
"sphingomyelin (d18:1/18:1, d18:2/18:0)",Lipid
palmitoyl sphingomyelin (d18:1/16:0),Lipid
3-hydroxyhippurate,Xenobiotics
16alpha-hydroxy DHEA 3-sulfate,Lipid
pregnenolone sulfate,Lipid
andro steroid monosulfate C19H28O6S (1)*,Lipid
ergothioneine,Xenobiotics
13-HODE + 9-HODE,Lipid
tridecenedioate (C13:1-DC)*,Lipid
